State,Owner,County,Parcel #,Acres,Section,Township,Range,Starting Bid
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,215-14329-000,0,,,,122.27
Arkansas,DAVID  MARTINYAN,FULTON,215-14287-000,0,,,,129.89
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,215-14201-000,0,,,,122.34
Arkansas,BILLY H  EVANS,FULTON,210-14095-000,0,,,,129.89
Arkansas,COREEN J  BLOOMER TRUST%COREEN BLOOMER,FULTON,210-14031-000,0,,,,129.89
Arkansas,ROBERT & LINDA  COOK,FULTON,210-14017-000,0,,,,129.89
Arkansas,DAVID   COCHRAN,FULTON,205-13954-000,0,28,19N,06W,217.77
Arkansas,BRIAN A  SMITH% BRIAN SMITH,FULTON,205-13947-000,0,28,19N,06W,217.77
Arkansas,VIRGINIA LEE  ROZYNEK,FULTON,205-13932-000,0,28,19N,06W,217.77
Arkansas,EDWARD M & DEBORAH A   FAYDER,FULTON,205-13893-000,0,28,19N,06W,217.77
Arkansas,EDWARD M & DEBORAH A   FAYDER,FULTON,205-13892-000,0,28,19N,06W,216.92
Arkansas,RALPH H  CLARK,FULTON,205-13887-000,0,28,19N,06W,129.89
Arkansas,WILMER E & BEVERLY SUE   GUILLOT,FULTON,205-13885-000,0,28,19N,06W,217.77
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,205-13876-000,0,,,,122.55
Arkansas,CVSID  -FORECLOSURE,FULTON,200-13814-000,0,28,19N,06W,122.24
Arkansas,SALLY   BROWN REVOCABLE TRUST% SALLY BROWN,FULTON,195-13685-000,0,,,,129.89
Arkansas,ASMIK  YESAYAN,FULTON,190-13548-000,0,,,,129.89
Arkansas,CECIL R  ASHLEY,FULTON,190-13545-000,0,,,,129.89
Arkansas,AURORA B & KRUPP DAVID L  ARENAS,FULTON,190-13490-000,0,,,,129.89
Arkansas,DOROTHY NOREEN  DEMAS,FULTON,190-13486-000,0,,,,129.89
Arkansas,ROBERT & MARY  HILL,FULTON,185-13341-000,0,,,,190.7
Arkansas,NORMAN R & SETSUKO  SKETERS% NORMAN R SKETERS,FULTON,185-13334-000,0,,,,190.7
Arkansas,JAMES W  MCMILLAN,FULTON,180-13250-000,0,,,,190.7
Arkansas,LARRY  LINNEMAN%ELEANOR A LINNEMAN,FULTON,180-13180-000,0,,,,190.7
Arkansas,CHEROKEE VILLAGE   SUBURBAN IMPROVEMENT DISTRICT #1,FULTON,180-13179-000,0,,,,183.36
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,180-13161-000,0,23,19N,06W,183.36
Arkansas,LAURETTE  AFFINITO,FULTON,180-13100-000,0,22,19N,06W,190.7
Arkansas,LAURETTE  AFFINITO,FULTON,175-13004-000,0,13,19N,06W,129.89
Arkansas,DONALD D  LOVAN,FULTON,175-12995-000,0,13,19,06,129.89
Arkansas,THARWAT R & MATTA   MANAL S BOKTOR,FULTON,175-12994-000,0,13,19,06,129.89
Arkansas,STEFANO ROGER  DI,FULTON,175-12945-000,0,13,19N,06W,122.55
Arkansas,GERALD & SUSAN  GOEBEL,FULTON,175-12897-000,0,14,19,06,122.55
Arkansas,MILDRED  CROWE%DALE GIBBS,FULTON,170-12762-000,0,21,19,06,129.89
Arkansas,STEPHEN B  SMITH,FULTON,165-12684-000,0,,,,129.89
Arkansas,DAVID A  KEMP,FULTON,165-12546-000,0,,,,129.89
Arkansas,NANCY  DRAGMEN IRREVOCABLE TRUST%NANCY C DRAGMEN,FULTON,160-12469-000,0,,,,129.89
Arkansas,LAURETTE  AFFINITO,FULTON,160-12441-000,0,,,,129.89
Arkansas,JOHN B   ERMISH%ERMISH LIVING TRUST,FULTON,160-12367-000,0,,,,129.89
Arkansas,TRACY & TAYLOR   STEPHANY & ARROWSMITH JENNY SURFACE,FULTON,145-11802-000,0,,,,190.7
Arkansas,LEIDULF  NILSEN,FULTON,145-11729-000,0,,,,183.36
Arkansas,JAMES L  HENRY,FULTON,145-11625-000,0,,,,198.04
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,140-11559-000,0,13,19N,06W,122.55
Arkansas,LARRY  PULLEY,FULTON,135-11481-000,0,,,,190.7
Arkansas,LYNN JOY  HOLLAND%LYNN HOLLAND,FULTON,135-11451-000,0,,,,198.04
Arkansas,BARBARA  FIELDS,FULTON,135-11443-000,0,,,,190.7
Arkansas,STEFANO ROGER  DI,FULTON,130-11301-000,0,,,,183.36
Arkansas, ALFRED A & LUCILLE D  BEYER%LUCILLE D BEYER LAURIE HAGGITH,FULTON,130-11296-000,0,,,,190.7
Arkansas,DARRYL R  MATSON%DARRYL MATSON,FULTON,130-11293-000,0,,,,198.04
Arkansas,MARVIN  AUSTIN,FULTON,130-11280-000,0,,,,190.7
Arkansas,GERALD & SUSAN  GOEBEL,FULTON,125-11204-000,0,,,,122.55
Arkansas,FREDDY R & CLAUDETTE I   WOOTEN,FULTON,125-11169-000,0,,,,190.7
Arkansas, ASMIK  YESAYAN,FULTON,115-10842-000,0,,,,190.7
Arkansas,CHEROKEE VILLAGE   SUBURBAN IMPROVEMENT DISTRICT #1,FULTON,115-10729-000,0,,,,198.65
Arkansas, VAHAN  YEPREMYAN,FULTON,115-10711-000,0,,,,190.7
Arkansas, GEORGE  FLESCHLER,FULTON,110-10694-000,0,,,,100.74
Arkansas,WILLIAM E   MCMULLEN,FULTON,110-10646-000,0,,,,106.99
Arkansas,JACK K & CARMEN LEE  SANDERS%JOHN L SANDERS,FULTON,110-10608-000,0,,,,100.74
Arkansas,SIDDIQ   WASHINGTON,FULTON,110-10603-000,0,,,,109.48
Arkansas,CHARLES R  MCCOY,FULTON,110-10497-000,0,,,,100.74
Arkansas,PROFESSIONAL HOUSING   & LAND LLC ,FULTON,110-10476-000,0,,,,100.74
Arkansas,DONALD RAY  NUNLEY,FULTON,105-10423-000,0,,,,100.74
Arkansas,PROFESSIONAL HOUSING  & LAND LLC ,FULTON,105-10359-000,0,,,,109.48
Arkansas,PROFESSIONAL  HOUSING & LAND LLC,FULTON,105-10295-000,0,,,,117.24
Arkansas,CARSON EVERN  MALLOY & BARBARA JEAN AIKEN,FULTON,105-10292-000,0,,,,109.29
Arkansas,JESSICA  FRANCIS,FULTON,105-10288-000,0,,,,100.74
Arkansas,JEFFERY S  CEFALU,FULTON,105-10186-000,0,,,,108.08
Arkansas,ACRES  CO LLC,SHARP,408-00148-000,0,28,19N,05W,202.3
Arkansas,PATRICIA  THOMAS,SHARP,408-00137-000,0,28,19N,05W,194.96
Arkansas,BETTY J KOONTZ  WALTON,SHARP,400-00359-000,0,29,19N,05W,221.3
Arkansas,BRUCE  FAUBERT,SHARP,400-00274-000,0,29,19N,05W,221.3
Arkansas,BRUCE  FAUBERT,SHARP,400-00258-000,0,29,19N,05W,221.3
Arkansas,DONALD R & EILEEN A  BLAIR%EILEEN A BLAIR,SHARP,400-00093-000,0,29,19N,05W,221.3
Arkansas,HIDDEN  VALLEY%SANDRA KARLE,SHARP,400-00091-000,0,29,19N,05W,228.64
Arkansas,KENNETH H  LEMNAH,SHARP,388-00246-000,0,29,19N,05W,221.3
Arkansas,SELIG A   BAWS%JEANNIE JOHNSON,SHARP,368-00119-000,0,21,19N,05W,221.3
Arkansas,GOSSINGER  REVOCABLE TRUST%FRANK B & KATHERINE GOSSINGER,SHARP,368-00118-000,0,21,19N,05W,221.3
Arkansas,BOB  CRAWFORD,SHARP,352-00044-000,0,21,19N,05W,222.3
Arkansas,BOB  CRAWFORD,SHARP,352-00040-000,0,21,19N,05W,221.3
Arkansas,D G & J K  WALLACE TRUST%DORAN G & JOAN K WALLACE,SHARP,350-00034-000,0,21,19N,05W,221.3
Arkansas,BOB  CRAWFORD,SHARP,350-00030-000,0,21,19N,05W,221.3
Arkansas,JOSEPH  KENT%BILLIE MALONE,SHARP,344-00034-000,0,15,19N,05W,226.95
Arkansas,WILLARD L  HUSTED%BILL HUSTED,SHARP,288-00096-000,0,21,19N,05W,143.08
Arkansas,CURTIS  NEITZKE,SHARP,288-00022-000,0,21,19N,05W,150.42
Arkansas,JOHN  REID,SHARP,260-00261-000,0,16,19N,05W,203.51
Arkansas,RUSSELL E  ROBERTO,SHARP,260-00254-000,0,16,19N,05W,150.42
Arkansas,GEORGE  ROBERTS,SHARP,260-00191-000,0,16,19N,05W,203.51
Arkansas,GEORGE  ROBERTS,SHARP,260-00190-000,0,16,19N,05W,203.51
Arkansas,STEVEN  SHEARON,SHARP,260-00125-000,0,16,19N,05W,227.79
Arkansas,GARY LEE  MILLS%GARY L MILLS,SHARP,260-00067-000,0,16,19N,05W,150.21
Arkansas,GARY LEE  MILLS%GARY L MILLS,SHARP,260-00066-000,0,16,19N,05W,150.21
Arkansas,BOB  KONETSKI,SHARP,224-00203-000,0,20,19N,05W,203.51
Arkansas,DONALD LEE & CAROLYN JUNE  MCGEE,SHARP,224-00194-000,0,20,19N,05W,196.17
Arkansas,DAVID R & CAROLYN M  MCLEMORE,SHARP,224-00180-000,0,20,19N,05W,210.85
Arkansas,DAVID R  MCLEMORE%DAVID R & CAROLYN M MCLEMORE,SHARP,224-00178-000,0,20,19N,05W,210.85
Arkansas,JASON  HAYNES,SHARP,224-00167-000,0,20,19N,05W,143.08
Arkansas,CHARLES EDWARD & KELLY ANN COLI  BENNETT%CHARLES & KELLY ANN BENNETT,SHARP,224-00156-000,0,20,19N,05W,210.85
Arkansas,CHARLES EDWARD  BENNETT & ANN KELLY % CHARLES & KELLY ANN BENNETT,SHARP,224-00155-000,0,20,19N,05W,210.85
Arkansas,DONALD LEE & CAROLYN JUNE  MCGEE,SHARP,224-00152-000,0,20,19N,05W,196.17
Arkansas,DONALD LEE & ADAM JAMES  MCGEE%DONALD LEE & CAROLYN JUNE MCGEE,SHARP,224-00132-000,0,20,19N,05W,196.17
Arkansas,JASON  HAYNES,SHARP,224-00082-000,0,20,19N,05W,143.08
Arkansas,JASON  HAYNES,SHARP,224-00081-000,0,20,19N,05W,143.08
Arkansas,JASON  HAYNES,SHARP,224-00064-000,0,20,19N,05W,143.08
Arkansas,JOHN R  KECK%ELFRIEDE KECK,SHARP,222-00200-000,0,29,19N,05W,150.42
Arkansas,BRUNO  SCHWENDENER,SHARP,212-00139-000,0,16,19N,05W,203.51
Arkansas,JASON  HAYNES,SHARP,212-00118-000,0,16,19N,05W,143.08
Arkansas,RICHARD D  UTLEY,SHARP,206-00043-000,0,16,19N,05W,150.42
Arkansas,JASON  HAYNES,SHARP,206-00013-000,0,16,19N,05W,151.03
Arkansas,BILLIE KAY  KRIEWALD%KAY C KRIEWALD,SHARP,206-00012-000,0,16,19N,05W,158.37
Arkansas,DAVID & ANGELA  RICKER%DAVID L RICKER JR,CLAY,722-02195-000,0.03,23,21N,03E,242.56
Arkansas,DAVID  SMITH & CALEB SMITH,LAWRENCE,810-00977-000,0,01,18N,03,164.41
Arkansas,JOE  ALLSUP SR,LAWRENCE,810-00596-000,0,01,18N,03,179.25
Arkansas,JOE  ALLSUP SR,LAWRENCE,810-00493-000,0,01,18N,03,179.25
Arkansas,DAVID  SMITH JR,LAWRENCE,810-00340-000,0,01,18N,03,161.49
Arkansas,TIMOTHY PATRICK  HENRY & JOSEPH DONALD,LAWRENCE,810-00006-000,0,,,,221.75
Arkansas,DAVID  SMITH,LAWRENCE,380-00014-000,0,02,18N,03,166.8
Arkansas,ADA  SISCO% ADA SISCO (WIRT ST PROPERTY),GREENE,1332-00092-000,0.17,01,16N,05E,4813.16
Arkansas,EVERETT  GREATHOUSE,GREENE,1265-00006-000,0.12,30,17N,06E,1639.33
Arkansas,A31  LAND TRUST C/O ERIC HERM TRUSTEE DATED 4-17-2017,GREENE,0007-18340-003,0.14,18,16N,04E,478.92
Arkansas,MELVIN MING SHU  HO ETUX,VAN BUREN,4550-02116-0000,0,27,12N,12W,147.18
Arkansas,LOVETTA  GREENWOOD,VAN BUREN,4550-02003-0000,0,27,12N,12W,153.97
Arkansas,ANNE M  STIELOW,VAN BUREN,4500-02475-0000,0,33,12N,12W,154.52
Arkansas,KATHLEEN V  COULSON,VAN BUREN,4500-02224-0000,0,32,12N,12W,154.52
Arkansas,BARBARA J  PARKER LIVING TRUST%BARBARA J PARKER,VAN BUREN,4500-02168-0000,0,32,12N,12W,154.52
Arkansas,TIMOTHY & KATHLEEN  HALLETT%TIMOTHY L HALLETT,VAN BUREN,4500-02012-0000,0,33,12N,12W,153.97
Arkansas,ROBERT H  HATCH ETUX,VAN BUREN,4500-01479-0000,0,33,12N,12W,154.52
Arkansas,MARIAN B   CLARK%MARIAN BETH CLARK HIGHSMITH,VAN BUREN,4500-01366-0000,0,33,12N,12W,154.52
Arkansas,TERRY & KAREN  POLING,VAN BUREN,4500-01133-0000,0,33,12N,12W,154.52
Arkansas,ANTONIO  HERRERA,VAN BUREN,4500-01095-0000,0,33,12N,12W,154.5
Arkansas,ALLEN  BRAMLETT REVOCABLE TRUST%ALLEN BRAMLETT,VAN BUREN,4500-01014-0000,0,33,12N,12W,229.44
Arkansas,"US  PRIVATE LENDERS, LLC",VAN BUREN,4450-02057-0000,0,05,11N,12W,375.34
Arkansas,"US  PRIVATE LENDERS, LLC",VAN BUREN,4450-02056-0000,0,05,11N,12W,375.4
Arkansas,"US  PRIVATE LENDERS, LLC",VAN BUREN,4450-02055-0000,0,05,11N,12W,384.31
Arkansas,STEPHEN W  CONNER,VAN BUREN,4400-22242-0000,0,33,12N,12W,154.27
Arkansas,HAROLD E  SMITH ETUX%HOLLY WOLFE,VAN BUREN,4400-22018-0000,0,04,11N,12W,154.52
Arkansas,DONALD P  ZUBROD ETUX,VAN BUREN,4400-21127-0000,0,04,11N,12W,154.52
Arkansas,WYLD  STYLE STUDIOS,VAN BUREN,4400-21002-0000,0,04,11N,12W,154.05
Arkansas,ADAM & WENDY  WEISER,VAN BUREN,4400-20284-0000,0,08,11N,12W,154.52
Arkansas,GINGERY  FAMILY TRUST%WILLIAM R & JENNETH L GINGERY,VAN BUREN,4400-20207-0000,0,04,11N,12W,154.52
Arkansas,STEVE R  ADAMS,VAN BUREN,4400-20191-0000,0,04,11N,12W,154.52
Arkansas,CHRIS H  ANDREWS ETUX,VAN BUREN,4400-20042-0000,0,09,11N,12W,154.52
Arkansas,PINCUS  BURGAN,VAN BUREN,4400-19215-0000,0,08,11N,12W,154.52
Arkansas,PINCUS  BURGAN,VAN BUREN,4400-19111-0000,0,09,11N,12W,154.52
Arkansas,"BLOWERS  WHOLESALE PRODUCTS, LLC",VAN BUREN,4400-19105-0000,0,09,11N,12W,154.52
Arkansas,LUBA & LOIR  LANDSBERG,VAN BUREN,4400-19074-0000,0,09,11N,12W,147.18
Arkansas,WILLIAM R  EDDINGTON ETUX,VAN BUREN,4400-18099-0000,0,08,11N,12W,154.52
Arkansas,RICHARD R  HATT ETUX%RICHARD R HATT,VAN BUREN,4400-18085-0000,0,08,11N,12W,154.52
Arkansas,JAMES & PEGGY  JONES%NATHAN KARR,VAN BUREN,4400-16175-0000,0,09,11N,12W,154.52
Arkansas,RYANS  ART PROPERTY PTY LTD,VAN BUREN,4400-16100-0000,0,09,11N,12W,147.16
Arkansas,STANLEY F  TENCZA JR ETUX%PATRICIA N TENCZA,VAN BUREN,4400-16086-0000,0,09,11N,12W,154.52
Arkansas,ASHRAF  YOUSSEF,VAN BUREN,4400-16046-0000,0,08,11N,12W,154.52
Arkansas,MARK  MCLAREN & DOUGLAS BEECH%MARK MCLAREN,VAN BUREN,4400-16016-0000,0,09,11N,12W,154.52
Arkansas,"THOMAS & ODUNAYO  OBISESAN,",VAN BUREN,4400-15093-0000,0,08,11N,12W,154.52
Arkansas,FRANK T  STOREY ETAL,VAN BUREN,4400-14193-0000,0,17,11N,12W,154.52
Arkansas,JAMES J  DALY ETUX,VAN BUREN,4400-14187-0000,0,08,11N,12W,154.52
Arkansas,MARK J & NANCY K  CALAY,VAN BUREN,4400-14180-0000,0,17,11N,12W,154.52
Arkansas,GLENA & NORBERT  HENRY,VAN BUREN,4400-14135-0000,0,17,11N,12W,154.11
Arkansas,RUSS  JOHNSON,VAN BUREN,4400-14073-0000,0,08,11N,12W,168.42
Arkansas,CHESTER & JOSEPHINE   RATULOWSKI HEIRS% CHESTER RATULOWSKI,VAN BUREN,4400-13036-0000,0,08,11N,12W,154.52
Arkansas,JOSE J  PEREZ,VAN BUREN,4400-12234-0000,0,17,11N,12W,154.52
Arkansas,JOSE J  PEREZ,VAN BUREN,4400-12211-0000,0,17,11N,12W,154.52
Arkansas,"LAND  RACK, LLC",VAN BUREN,4400-12149-0000,0,17,11N,12W,154.52
Arkansas,WINCIE C & PEGGY J  DANIEL JOINT REVOCABLE%WINCIE C DANIEL ETUX,VAN BUREN,4400-12114-0000,0,17,11N,12W,154.52
Arkansas,RICCO  CRAWFORD,VAN BUREN,4400-12111-0000,0,17,11N,12W,154.52
Arkansas,GERALD L  MILBRATH ETUX,VAN BUREN,4400-12076-0000,0,17,11N,12W,154.52
Arkansas,VIBHA & SHYAM  KARIA%SHYAM KARIA,VAN BUREN,4400-12051-0000,0,17,11N,12W,154.52
Arkansas,HUGH R & ALLENE  GAMBLE TRUST,VAN BUREN,4400-12028-0000,0,17,11N,12W,154.52
Arkansas,JAMES N  NOLAN ETUX,VAN BUREN,4400-11091-0000,0,17,11N,12W,154.52
Arkansas,"BOB J  BROOKS ETAL% RUSSELL LANGSTON,",VAN BUREN,4400-10032-0000,0,17,11N,12W,154.05
Arkansas,THOMAS W  KIMBERLIN ETUX,VAN BUREN,4400-09272-0000,0,17,11N,12W,154.52
Arkansas,EARL  JONES,VAN BUREN,4400-09266-0000,0,17,11N,12W,154.52
Arkansas,"DANA  LITTLE, DANIEL Y WOODWARD & ALICE ELLIOTT",VAN BUREN,4400-09109-0000,0,17,11N,12W,154.52
Arkansas,CLIFFORD G  HATFIELD ETUX,VAN BUREN,4400-09051-0000,0,17,11N,12W,154.13
Arkansas,ANTHONY & SAMANTHA  SWETT%ANTHONY W SWETT,VAN BUREN,4400-03315-0000,0,18,11N,12W,774.31
Arkansas,"LAND  RACK, LLC",VAN BUREN,4400-02030-0000,0,18,11N,12W,153.06
Arkansas,RICHARD  OVERTURF-FERGUSON ETAL%MARY B OVERTURF-FERGUSON,VAN BUREN,4350-10074-0000,0,19,11N,12W,295.44
Arkansas,DIVINE CHICK  GANA,VAN BUREN,4350-03088-0000,0,20,11N,12W,373.75
Arkansas,GRAHAM J  LEE ETALS%GRAHAM J LEE,VAN BUREN,4350-03028-0000,0,20,11N,12W,389.35
Arkansas,TONYA & CASEY  SIX,VAN BUREN,4300-18066-0000,0,15,11N,12W,186.08
Arkansas,WILLIAM T  WALKER ETUX,VAN BUREN,4300-18064-0000,0,15,11N,12W,186.08
Arkansas,HAROLD J  KUESER JR ETUX,VAN BUREN,4300-17006-0000,0,15,11N,12W,181.11
Arkansas,KHOSROW  SALEHPOUR,VAN BUREN,4300-15146-0000,0,10,11N,12W,186.08
Arkansas,MUNEET  BAKSHI,VAN BUREN,4300-13162-0000,0,15,11N,12W,186.08
Arkansas,NETTIE W  LACOMBE,VAN BUREN,4300-13081-0000,0,15,11N,12W,186.08
Arkansas,"ROBERT W  HOWARD,",VAN BUREN,4300-13013-0000,0,15,11N,12W,186.08
Arkansas,CHARLES C & SANDRA L  WILSON%CHARLES C WILSON ETUX,VAN BUREN,4300-07058-0000,0,10,11N,12W,186.08
Arkansas,MARK PAUL & ROSEMARIE  CEREGHINO,VAN BUREN,4300-06059-0000,0,15,11N,12W,185.4
Arkansas,WENDALL L  JOHNSON ETUX%WENDELL JOHNSON,VAN BUREN,4300-03115-0000,0,10,11N,12W,186.08
Arkansas,"KENNEMORE  REAL ESTATE, INC%CHARLES R & TIFFANY M  KENNEMORE",VAN BUREN,4300-03062-0000,0,10,11N,12W,186.08
Arkansas,ALMA R  GAMBOA,VAN BUREN,4300-03001-0000,0,10,11N,12W,186.08
Arkansas, ELLA MAE  DIXON IRREVOCABLE TRUST%GREGORY W DIXON,VAN BUREN,4300-02205-0000,0,15,11N,12W,186.08
Arkansas,"PROPERTY  SHARES, LLC",VAN BUREN,4300-01097-0000,0,15,11N,12W,186.08
Arkansas,CLARA JOLENE  METZGER,VAN BUREN,4200-02496-0000,0,05,11N,12W,135.57
Arkansas,JAMES L  ENGEL ETUX%BETTY BALLWEG,VAN BUREN,4200-02441-0000,0,05,11N,12W,135.57
Arkansas,MATTHIEU  CHATELIN,VAN BUREN,4200-02354-0000,0,05,11N,12W,128.23
Arkansas,"MAXINE & WEDDERBURN, ROBERT  EDWARDS%MAXINE & WEDDERBURN EDWARDS",VAN BUREN,4200-02339-0000,0,05,11N,12W,135.57
Arkansas,DEWELL R & MARTHA  GANDY,VAN BUREN,4200-02327-0000,0,05,11N,12W,135.57
Arkansas,GALE E & CAROL K  BOBOLZ,VAN BUREN,4200-02305-0000,0,05,11N,12W,135.57
Arkansas,ABUTALIB  GULAMALI,VAN BUREN,4200-02256-0000,0,05,11N,12W,135.57
Arkansas,JOHN T & PATRICIA M  GIANNAROS,VAN BUREN,4200-02236-0000,0,05,11N,12W,135.57
Arkansas,MARCIA G & HERBERT SPENCER  SORENSEN%MARCIA G & HERBERT SORENSON,VAN BUREN,4200-02227-0000,0,05,11N,12W,135.57
Arkansas,CARL L  SEBELIUS JR ETUX,VAN BUREN,4200-02214-0000,0,05,11N,12W,135.57
Arkansas,"BILLY D JR & DIANA  BUCKNER,",VAN BUREN,4200-02196-0000,0,05,11N,12W,135.57
Arkansas,MARSHALL  POINT TRUST%WARREN B & VICTORIA L MARSHALL,VAN BUREN,4200-02032-0000,0,05,11N,12W,135.57
Arkansas,DWIGHT A  AUSTIN JR ETUX,VAN BUREN,4200-02027-0000,0,05,11N,12W,135.57
Arkansas,GLEN T   BOUNDS ETUX,VAN BUREN,4200-01185-0000,0,05,11N,12W,135.57
Arkansas,ALDO  TERRANA,VAN BUREN,4200-01071-0000,0,05,11N,12W,135.57
Arkansas,ALDO  TERRANA,VAN BUREN,4200-01045-0000,0,05,11N,12W,135.57
Arkansas,PAUL D  CALLAHAN ETUX,VAN BUREN,4050-12252-0000,0,03,11N,12W,186.08
Arkansas,DALTON  HUCKABY%ALLIE N & DALTON L HUCKABY,VAN BUREN,4050-12098-0000,0,03,11N,12W,186.08
Arkansas,DORON  OVADIA,VAN BUREN,4050-08064-0000,0,16,11N,12W,178.74
Arkansas,WENDALL  JOHNSON,VAN BUREN,4050-07109-0000,0,16,11N,12W,186.08
Arkansas,BEVERLY J  LIVINGSTON,VAN BUREN,4050-07049-0000,0,16,11N,12W,195.18
Arkansas,TRENT & MELISSA  DUNN,VAN BUREN,4050-04046-0000,0,09,11N,12W,186.08
Arkansas,ROBERT E ETUX  KRETCHMAR,VAN BUREN,4050-03058-0000,0,09,11N,12W,185.77
Arkansas,DIVINE CHICK  GANA,VAN BUREN,4050-03038-0000,0,16,11N,12W,738.15
Arkansas,TRACIE VALECE  BROWN,FAULKNER,760-01225-000,0.12,30,04N,13W,489.8
Arkansas,EARNEST  EDWARDS/STATE%EXEMPT (MISC OWNERS),DALLAS,970-04644-000,0.25,35,10S,13W,326.71
Arkansas,MILDRED  BROWN,OUACHITA,999-00097-000R,0.33,28,15S,19W,339.32
Arkansas,CURTIS M  GATHWRIGHT,OUACHITA,988-00004-000R,0,21,15S,19W,423.2
Arkansas,CALVIN  JONES & ALYCE FERNANDES,OUACHITA,985-00035-000R,0,21,15S,19W,536.27
Arkansas,LENORA  PARLOR%LORETTA PARLOR GASKIN,OUACHITA,949-00183-000R,0,30,15S,16W,524.08
Arkansas,JOSEPH KASSONDRA  GIVENS,OUACHITA,901-00026-000R,0.45,03,14S,17W,332.6
Arkansas,BYRON D  GATHWRIGHT,OUACHITA,875-00019-000R,0,26,13S,17W,283.31
Arkansas,WANDA S  TAYLOR,OUACHITA,867-00017-000R,0,10,14S,17W,391.51
Arkansas,CURTIS M  GATHWRIGHT,OUACHITA,853-00351-000R,0,02,14S,17W,316.73
Arkansas,PROFESSIONAL  HOUSING & LAND LLC,OUACHITA,806-00085-000R,0,26,13S,17W,379.43
Arkansas,ANDRIA A BLUNT H NELSON  ALEXANDER%ANDRIA SHANICE ANGELA ALEXANDER,OUACHITA,800-00058-000R,0,26,13S,17W,421.25
Arkansas,KI A  MOLLISON,OUACHITA,785-00012-000R,0,23,13S,17W,286.99
Arkansas,RICCO  CRAWFORD,OUACHITA,777-00211-000R,0,23,13S,17W,427.18
Arkansas,PROFESSIONAL  HOUSING & LAND LLC,OUACHITA,777-00140-000R,0,23,13S,17W,515.98
Arkansas,JAMES A & ELLEN L  RUSH,OUACHITA,715-00051-000R,0,21,13S,17W,317.19
Arkansas,BYRON D  GATHWRIGHT,OUACHITA,017-00023-000R,0.15,01,14S,17W,294.05
Arkansas,WESLEY & ZOIE  STRANGE,OUACHITA,008-00202-000R,0.9,14,12S,16W,445.37
Arkansas,ELOISE G PERKINS  ROSS,OUACHITA,007-00138-000R,0.25,05,12S,15W,313.35
Arkansas,MARILYN JEAN  SMITH,UNION,05240-00019-0000,0.17,,,,3032.49
Arkansas,NATHAN AARON  LONG & KELSEY RENEE LEWIS,UNION,04620-00125-0010,0.14,,,,340.04
Arkansas, JUNIOR J.  ROSE,UNION,03020-00029-0000,0.06,,,,433.21
Arkansas,VOLTAIRE H.  STERLING REVOCABL LIVING TRUST,UNION,00960-00024-0000,0.14,,,,294.27
Arkansas,OCIE  MARTIN,COLUMBIA,00-06986-00000,0.25,2,17S,20W,4261.16
Arkansas,JAMES B. & SUE  PIWETZ,GARLAND,74294,0,36,01N,19W,119.7
Arkansas,"ANTHONY  FAMILY TRUST, H.C. & BARBARA ANTHONY",GARLAND,73746,0,35,01N,19W,119.7
Arkansas,"US  PRIVATE LENDERS, LLC",GARLAND,72439,0,25,01N,19W,112.36
Arkansas,RILEY D & BETTY J  DARBY,GARLAND,72230,0,24,01S,19W,114.55
Arkansas,KAREN & TONI  ROSETTI,GARLAND,71737,0,24,01S,19W,114.55
Arkansas,NICANOR JR & ANNALIZA  MENDOZA,GARLAND,71652,0,24,01S,19W,114.55
Arkansas,LUNDY J & SHARON L  CASEY,GARLAND,71635,0,24,01S,19W,114.55
Arkansas,INGE  KUENAST%WALTER KUENAST,GARLAND,71533,0,24,01S,19W,114.55
Arkansas,JOHN L  KLADIS,GARLAND,71392,0,24,01S,19W,114.55
Arkansas,WINSTON P  HENRY,GARLAND,70231,0,14,01S,19W,109.27
Arkansas,HAMLIN W  SALMON,GARLAND,69906,0,14,01S,19W,114.55
Arkansas,VICTOR M  SOSTRE & JEANNETTE LOPEZ PEREZ,GARLAND,69708,0,14,01S,19W,114.55
Arkansas,MICHAEL GRANT  VERMOTE,GARLAND,69621,0,13,01S,19W,114.55
Arkansas,EARNI SATYA & JAMUNABAI  PAL,GARLAND,69554,0,13,01S,19W,114.55
Arkansas,THOMAS D & LINDA E  TONKERY,GARLAND,69202,0,13,01S,19W,114.55
Arkansas,HAMLIN W  SALMON,GARLAND,68720,0,13,01S,19W,114.55
Arkansas,VIVIAN I  GABEL %CHRIS GABEL,GARLAND,68361,0,12,01S,19W,114.29
Arkansas,JOHN J III & ELLEN  HERRING,GARLAND,68311,0,12,01S,19W,114.55
Arkansas,SFRTS  LAND COMPANY LIMITED LIABILITY PARTNERSHIP,GARLAND,68212,0,12,01S,19W,114.55
Arkansas,DENNIS  PURGATORIO,GARLAND,68042,0,12,01S,19W,114.55
